seg,onset_sec,speaker,actor,main_char,onset_TR,offset_TR,duration_TR,speaker_shift,diff_belief,diff_emotion,diff_intention
"When the phone rang, the gray-haired man asked the girl, with quite some little deference, if she would rather for any reason he didn't answer it.",0.0,narrator,"lee, girl",lee,0,5.0,5.0,0,3.8,3.2,4.2
"The girl heard him as if from a distance, and turned her face toward him, one eyeÑon the side of the lightÑclosed tight, her open eye very, however disingenuously, large, and so blue as to appear almost violet.",7.5,narrator,girl,girl,5,14.0,9.0,0,2.4,3.2,2.4
"The grayhaired man asked her to hurry up,",20.9,narrator,"lee, girl",lee,14,16.0,2.0,0,2.0,2.4,2.2
and she raised up on her right forearm just quickly enough so that the movement didn't quite look perfunctory.,23.5,narrator,girl,girl,16,20.0,4.0,0,1.2,2.0,1.2
She cleared her hair back from her forehead with her left hand,29.8,narrator,girl,girl,20,23.0,3.0,0,1.2,1.6,1.4
"and said, ""God. I don't know. I mean what do you think?""",34.6,girl,,girl,23,26.0,3.0,1,3.8,3.6,3.2
"The gray-haired man said he didn't see that it made a helluva lot of difference one way or the other,",39.6,narrator,lee ,lee ,26,30.0,4.0,1,3.4,3.2,2.8
"and slipped his left hand under the girl's supporting arm, above the elbow, working his fingers up, making room for them between the warm surfaces of her upper arm and chest wall.",45.2,narrator,lee,lee,30,37.0,7.0,0,1.6,2.6,2.6
He reached for the phone with his right hand.,55.6,narrator,lee,lee,37,39.0,2.0,0,2.0,2.4,2.4
"""Hello?"" he said resonantly into the phone.",58.3,lee,,lee,39,42.0,3.0,1,2.4,3.2,3.0
The girl stayed propped up on her forearm and watched him.,62.7,narrator,girl,girl,42,44.0,2.0,1,3.4,4.0,2.2
"Her eyes, more just open than alert or speculative, reflected chiefly their own size and color.",66.1,narrator,girl,girl,44,48.0,4.0,0,2.4,2.6,1.8
"A man's voiceÑstone dead, yet somehow rudely, almost obscenely quickened for the occasionÑcame through at the other end:",72.4,narrator,arthur,arthur,48,53.0,5.0,0,2.8,2.8,1.8
"""Lee? Did I wake you?""",80.0,arthur,,arthur,53,54.0,1.0,1,2.4,2.6,1.2
"The gray-haired man glanced briefly left, at the girl.",81.7,narrator,lee,lee,54,57.0,3.0,1,3.0,3.8,3.6
"""Who's that?"" he asked. ""Arthur?""",85.4,lee,,lee,57,59.0,2.0,1,2.6,3.2,2.4
"""YeahÑI wake you?""",88.4,arthur,,arthur,59,60.0,1.0,1,1.6,2.4,1.4
"""No, no. I'm in bed, reading.",89.9,lee,,lee,60,62.0,2.0,1,3.0,3.4,4.2
"Anything wrong?""",92.4,lee,,lee,62,63.0,1.0,0,3.8,3.0,2.8
"""The reason I called, Lee, did you happen to notice when Joanie was leaving?",93.76,arthur,,arthur,63,65.0,2.0,1,2.4,3.4,1.8
"Did you happen to notice if she left with the Ellenbogens, by any chance?""",98.2,arthur,,arthur,65,68.0,3.0,0,2.2,3.2,1.4
"The gray-haired man looked left again, but high this time, away from the girl,",101.9,narrator,lee,lee,68,71.0,3.0,1,3.2,3.6,3.0
"who was now watching him rather like a young, blue-eyed Irish policeman.",106.4,narrator,girl,girl,71,73.0,2.0,0,3.8,4.4,4.0
"""No, I didn't, Arthur,"" he said,",110.0,lee,,lee,73,76.0,3.0,1,4.8,4.6,5.0
"his eyes on the far, dim end of the room, where the wall met the ceiling.",113.3,narrator,lee,lee,76,78.0,2.0,1,3.6,4.0,3.2
"""Uh, didn't she leave with you?""",117.5,lee,,lee,78,79.0,1.0,1,3.6,3.2,2.8
"""No. Christ.",119.0,arthur,,arthur,79,80.0,1.0,1,3.6,3.8,3.8
"You didn't see her leave at all, then?""",120.5,arthur,,arthur,80,82.0,2.0,0,3.0,3.0,2.2
"""Well, no, as a matter of fact, I didn't, Arthur,"" the gray-haired man said.",122.8,lee,,lee,82,85.0,3.0,1,4.4,4.2,4.8
"""Why? What's up? Joanie lost?""",127.8,lee,,lee,85,87.0,2.0,0,4.6,4.2,4.4
"""Oh, Christ. Who knows? I don't know.",130.0,arthur,,arthur,87,88.0,1.0,1,1.8,2.2,1.6
You know her when she gets all tanked up and rarin' to go.,132.7,arthur,,arthur,88,91.0,3.0,0,2.0,3.2,1.4
"I don't know. She may have justÑ""",136.2,arthur,,arthur,91,92.0,1.0,0,1.8,1.8,1.4
"""You call the Ellenbogens?"" the gray-haired man asked.",137.8,lee,,lee,92,94.0,2.0,1,3.2,3.2,4.0
"""Yeah, yeah. They're not home yet.",141.6,arthur,,arthur,94,96.0,2.0,1,1.4,1.6,1.2
"I don't know. Christ,",143.3,arthur,,arthur,96,97.0,1.0,0,1.2,1.4,1.2
I'm not even sure she left with them.,144.9,arthur,,arthur,97,98.0,1.0,0,1.8,2.0,1.4
I know one thing. I know one goddamn thing.,146.8,arthur,,arthur,98,100.0,2.0,0,1.8,2.6,1.4
I'm through beating my brains out.,149.5,arthur,,arthur,100,101.0,1.0,0,1.6,2.4,1.2
I mean it. I really mean it this time.,151.0,arthur,,arthur,101,102.0,1.0,0,2.0,2.2,1.2
I'm through.,152.7,arthur,,arthur,102,102.0,0.0,0,2.0,2.0,1.2
Five years.,153.5,arthur,,arthur,102,103.0,1.0,0,1.4,1.8,1.0
"Christ.""",154.4,arthur,,arthur,103,103.0,0.0,0,1.2,1.4,1.0
"""All right, all right, try to take it a little easy, now, Arthur,"" the gray-haired man said.",155.1,lee,,lee,103,108.0,5.0,1,2.4,3.2,3.4
"He turned and gave the girl a sign, with two fingers near his mouth, that he wanted a cigarette.",161.5,narrator,lee,lee,108,111.0,3.0,1,2.4,1.6,1.6
"""In the first place, if I know the Ellenbogens, they probably all hopped in a cab and went down to the Village for a couple of hours. All three of them'll probably bargeÑ""",166.6,lee,,lee,111,117.0,6.0,1,3.8,2.6,4.2
"""I have a feeling she went to work on some bastard in the kitchen. I just have a feeling.",176.1,arthur,,arthur,117,121.0,4.0,1,2.2,2.8,2.0
She always starts necking some bastard in the kitchen when she gets tanked up.,180.9,arthur,,arthur,121,124.0,3.0,0,2.4,3.6,2.0
"I'm through. I swear to God I mean it this time. Five goddamnÑ""",185.5,arthur,,arthur,124,127.0,3.0,0,1.6,2.4,1.6
"""Where are you now, Arthur?"" the gray-haired man asked. ""Home?""",189.8,lee,,lee,127,129.0,2.0,1,2.0,3.2,3.4
He straightened his back so that the girl could reach behind him for the cigarettes.,194.0,narrator,"lee, girl",lee,129,133.0,4.0,1,1.2,1.4,1.0
"""Yeah. Home.",199.4,arthur,,arthur,133,134.0,1.0,1,1.2,1.6,1.2
"Home sweet home. Christ.""",200.9,arthur,,arthur,134,135.0,1.0,0,1.2,1.6,1.0
"""Look, Arthur. You want my advice?"" he said.",202.9,lee,,lee,135,138.0,3.0,1,2.6,2.8,3.6
"Absently, he took his left hand out from between the girl's upper arm and chest wall.",206.6,narrator,lee ,lee ,138,141.0,3.0,1,1.4,2.2,1.4
"""Get in bed and relax.",211.2,lee,,lee,141,142.0,1.0,1,3.0,3.0,4.2
"Tell the truth. Is it going to do you any good to sit around and stew?""",213.0,lee,,lee,142,145.0,3.0,0,3.0,3.0,4.2
"""Yeah, I know.",217.8,arthur,,arthur,145,146.0,1.0,1,1.4,2.0,1.6
"I wouldn't even worry, for Chrissake, but you can't trust her!",219.1,arthur,,arthur,146,149.0,3.0,0,1.6,2.8,1.8
"I swear to God. I swear to God you can't.""",223.0,arthur,,arthur,149,151.0,2.0,0,1.8,2.8,1.4
The gray-haired man turned his head to see what the girl was doing.,225.8,narrator,lee,lee,151,153.0,2.0,1,2.6,2.8,3.0
She had picked up the ashtray and was putting it between them.,230.0,narrator,girl,girl,153,156.0,3.0,0,1.4,1.4,1.4
"""You know what I do? You know what I do?",233.3,arthur,,arthur,156,158.0,2.0,1,1.8,2.0,1.6
