seg,onset_sec,speaker,actor,main_char,section
"When the phone rang, the gray-haired man asked the girl, with quite some little deference, if she would rather for any reason he didn't answer it. ",0,narrator,"lee, girl",lee,
"The girl heard him as if from a distance, and turned her face toward him, one eye—on the side of the light—closed tight, her open eye very, however disingenuously, large, and so blue as to appear almost violet.",7.5,narrator,girl,girl,
"The grayhaired man asked her to hurry up,",20.9,narrator,"lee, girl",lee,
and she raised up on her right forearm just quickly enough so that the movement didn't quite look perfunctory.,23.5,narrator,girl,girl,
She cleared her hair back from her forehead with her left hand ,29.8,narrator,girl,girl,
"and said, ""God. I don't know. I mean what do you think?"" ",34.6,girl,,girl,
"The gray-haired man said he didn't see that it made a helluva lot of difference one way or the other, ",39.6,narrator,lee ,lee ,
"and slipped his left hand under the girl's supporting arm, above the elbow, working his fingers up, making room for them between the warm surfaces of her upper arm and chest wall.",45.2,narrator,lee,lee,
He reached for the phone with his right hand.  ,55.6,narrator,lee,lee,
"""Hello?"" he said resonantly into the phone.",58.3,lee,,lee,1
The girl stayed propped up on her forearm and watched him. ,62.7,narrator,girl,girl,
"Her eyes, more just open than alert or speculative, reflected chiefly their own size and color.",66.1,narrator,girl,girl,
"A man's voice—stone dead, yet somehow rudely, almost obscenely quickened for the occasion—came through at the other end:",72.4,narrator,arthur,arthur,
"""Lee? Did I wake you?""",80,arthur,,arthur,
"The gray-haired man glanced briefly left, at the girl.",81.7,narrator,lee,lee,
" ""Who's that?"" he asked. ""Arthur?""",85.4,lee,,lee,
"""Yeah—I wake you?""",88.4,arthur,,arthur,
"""No, no. I'm in bed, reading. ",89.9,lee,,lee,
"Anything wrong?""",92.4,lee,,lee,
"""The reason I called, Lee, did you happen to notice when Joanie was leaving? ",93.76,arthur,,arthur,
"Did you happen to notice if she left with the Ellenbogens, by any chance?""",98.2,arthur,,arthur,
"The gray-haired man looked left again, but high this time, away from the girl, ",101.9,narrator,lee,lee,
"who was now watching him rather like a young, blue-eyed Irish policeman. ",106.4,narrator,girl,girl,
"""No, I didn't, Arthur,"" he said,",110,lee,,lee,2
"his eyes on the far, dim end of the room, where the wall met the ceiling.",113.3,narrator,lee,lee,
"""Uh, didn't she leave with you?""",117.5,lee,,lee,
"""No. Christ. ",119,arthur,,arthur,
"You didn't see her leave at all, then?""",120.5,arthur,,arthur,
"""Well, no, as a matter of fact, I didn't, Arthur,"" the gray-haired man said. ",122.8,lee,,lee,
"""Why? What's up? Joanie lost?""",127.8,lee,,lee,
"""Oh, Christ. Who knows? I don't know.",130,arthur,,arthur,
You know her when she gets all tanked up and rarin' to go.,132.7,arthur,,arthur,
"I don't know. She may have just—""",136.2,arthur,,arthur,
"""You call the Ellenbogens?"" the gray-haired man asked.",137.8,lee,,lee,
"""Yeah, yeah. They're not home yet.",141.6,arthur,,arthur,
"I don't know. Christ,",143.3,arthur,,arthur,
I'm not even sure she left with them. ,144.9,arthur,,arthur,
I know one thing. I know one goddamn thing.,146.8,arthur,,arthur,
I'm through beating my brains out.,149.5,arthur,,arthur,
I mean it. I really mean it this time.,151,arthur,,arthur,
I'm through.,152.7,arthur,,arthur,
Five years.,153.5,arthur,,arthur,
"Christ.""",154.4,arthur,,arthur,
"""All right, all right, try to take it a little easy, now, Arthur,"" the gray-haired man said.",155.1,lee,,lee,
"He turned and gave the girl a sign, with two fingers near his mouth, that he wanted a cigarette.",161.5,narrator,lee,lee,
"""In the first place, if I know the Ellenbogens, they probably all hopped in a cab and went down to the Village for a couple of hours. All three of them'll probably barge—""",166.6,lee,,lee,
"""I have a feeling she went to work on some bastard in the kitchen. I just have a feeling.",176.1,arthur,,arthur,
She always starts necking some bastard in the kitchen when she gets tanked up. ,180.9,arthur,,arthur,
"I'm through. I swear to God I mean it this time. Five goddamn—""",185.5,arthur,,arthur,
"""Where are you now, Arthur?"" the gray-haired man asked. ""Home?"" ",189.8,lee,,lee,
He straightened his back so that the girl could reach behind him for the cigarettes. ,194,narrator,"lee, girl",lee,
"""Yeah. Home. ",199.4,arthur,,arthur,
"Home sweet home. Christ.""",200.9,arthur,,arthur,
