Sentence Text,onset,end,onset_TR,end_TR
"When the phone rang, the gray-haired man asked the girl, with quite some little deference, if she would rather for any reason he didn't answer it. ",0,7.5,0,5
"The girl heard him as if from a distance, and turned her face toward him, one eye--on the side of the light-- closed tight, her open eye very, however, disingenuously large, and so blue as to appear almost violet. ",7.5,20.9,5,14
"The grayhaired man asked her to hurry up, and she raised up on her right forearm just quickly enough so that the movement didn't quite look perfunctory.",20.9,29.8,14,20
"She cleared her hair back from her forehead with her left hand and said, ""God. I don't know. I mean what do you think?"" ",29.8,39.6,20,26
"The gray-haired man said he didn't see that it made a helluva a lot of difference one way or the other, and slipped his left hand under the girl's supporting arm, above the elbow, working his fingers up, making room for them between the warm surfaces of her upper arm and chest wall. He reached for the phone with his right hand.",39.6,58.3,26,39
"Hello? he said resonantly into the phone.The girl stayed propped up on her forearm and watched him. Her eyes, more just open than alert or speculative, reflected chiefly their own size and color.",58.3,72.4,39,48
"A man's voice--stone dead, yet somehow rudely, almost obscenely quickened for the occasion--came through at the other end: ""Lee? Did I wake you?""",72.4,81.7,48,55
"The gray-haired man glanced briefly left, at the girl. ""Who's that?"" he asked. ""Arthur?"" ""Yeah--I wake you?"" ""No, no. I'm in bed, reading. Anything wrong?"" ""The reason I called, Lee, did you happen to notice when Joanie was leaving? Did you happen to notice if she left with the Ellenbogens, by any chance?""",81.7,101.9,55,68
"The gray-haired man looked left again, but high this time, away from the girl, who was now watching him rather like a young, blue-eyed Irish policeman. ""No, I didn't, Arthur,"" he said, his eyes on the far, dim end of the room, where the wall met the ceiling. ",101.9,117.5,68,78
"""Uh, didn't she leave with you?"" ""No. Christ. You didn't see her leave at all, then?"" ""Well, no, as a matter of fact, I didn't, Arthur,"" the gray-haired man said. ""Why? What's up? Joanie lost?""",117.5,130,78,87
"""Oh, Christ. Who knows? I don't know. You know her when she gets all tanked up and rarin' to go. I-I don't know. She may have just--"" ""You call the Ellenbogens?"" the gray-haired man asked. ""Yeah. Yeah, they're not home yet. I don't know. Christ. I'm not even sure she left with them. I know one thing. I know one goddamn thing. I'm through beating my brains out. I mean it. I really mean it this time. I'm through. Five years. Christ.""",130,155.1,87,103
"""All right, try to take it a little easy, now, Arthur,"" the gray-haired man said. He turned and gave the girl a sign, with two fingers near his mouth, that he wanted a cigarette. ""In the first place, if I know the Ellenbogens, they probably all hopped in a cab and went down to the village for a couple of hours. All three of them'll probably barge--""",155.1,176.1,103,117
"""I have a feeling she went to work on some bastard in the kitchen. I just have a feeling. She always starts necking some bastard in the kitchen when she gets tanked up. I'm through. I swear to God I mean it this time. Five goddamn-"" ",176.1,189.8,117,127
"""Where are you now, Arthur?"" the gray-haired man asked . ""Home?"" He straightened his back so that the girl could reach behind him for the cigarettes. ""Yeah. Home. Home sweet home. Christ.""",189.8,202.9,127,135
