onset,text,duration,onset_TR,speaker
20.97,When,0.21,13.98,
21.18,the,0.09,14.12,
21.27,phone,0.27,14.18,
21.54,rang,0.42,14.36,
22.05,the,0.15,14.7,
22.2,gray-haired,0.48,14.8,
22.68,man,0.3,15.12,
22.98,asked,0.33,15.32,
23.31,the,0.06,15.54,
23.37,"girl,",0.36,15.58,
23.73,with,0.21,15.82,
23.97,quite,0.3,15.98,
24.27,some,0.24,16.18,
24.51,little,0.21,16.34,
24.72,"deference,",0.69,16.48,
25.74,if,0.15,17.16,
25.89,she,0.15,17.26,
26.04,would,0.15,17.36,
26.19,rather,0.27,17.46,
26.46,for,0.18,17.64,
26.64,any,0.18,17.76,
26.82,reason,0.39,17.88,
27.21,he,0.12,18.14,
27.33,didn't,0.24,18.22,
27.57,answer,0.33,18.38,
27.9,it.,0.18,18.6,
28.92,The,0.12,19.28,
29.04,girl,0.3,19.36,
29.34,heard,0.24,19.56,
29.58,him,0.18,19.72,
29.76,as,0.15,19.84,
29.91,if,0.12,19.94,
30.03,from,0.18,20.02,
30.21,a,0.06,20.14,
30.27,"distance,",0.63,20.18,
30.9,and,0.18,20.6,
31.08,turned,0.3,20.72,
31.38,her,0.09,20.92,
31.47,face,0.3,20.98,
31.77,toward,0.27,21.18,
32.04,"him,",0.21,21.36,
32.52,one,0.27,21.68,
32.79,eye�,0.24,21.86,
33.03,on,0.15,22.02,
33.18,the,0.06,22.12,
33.24,side,0.24,22.16,
33.48,of,0.09,22.32,
33.57,the,0.09,22.38,
33.66,light�closed,0.65,22.44,
34.41,"tight,",0.39,22.94,
35.22,her,0.15,23.48,
35.37,open,0.33,23.58,
35.7,eye,0.18,23.8,
35.89,"very,",0.38,23.92666667,
36.27,"however,",0.48,24.18,
37.08,disingenuously,1.08,24.72,
38.16,"large,",0.48,25.44,
39,and,0.15,26,
39.15,so,0.24,26.1,
39.39,blue,0.3,26.26,
39.69,as,0.18,26.46,
39.87,to,0.12,26.58,
39.99,appear,0.39,26.66,
40.38,almost,0.51,26.92,
40.89,violet.,0.51,27.26,
42.24,The,0.09,28.16,
42.33,gray-haired,0.51,28.22,
42.84,man,0.27,28.56,
43.11,asked,0.33,28.74,
43.44,her,0.12,28.96,
43.56,to,0.15,29.04,
43.71,hurry,0.33,29.14,
44.04,"up,",0.21,29.36,
44.25,and,0.12,29.5,
44.37,she,0.21,29.58,
44.58,raised,0.42,29.72,
45,up,0.18,30,
45.18,on,0.15,30.12,
45.33,her,0.18,30.22,
45.51,right,0.27,30.34,
45.78,forearm,0.54,30.52,
46.32,just,0.3,30.88,
46.62,quickly,0.42,31.08,
47.04,enough,0.27,31.36,
47.76,so,0.18,31.84,
47.94,that,0.18,31.96,
48.12,the,0.09,32.08,
48.21,movement,0.45,32.14,
48.66,didn't,0.27,32.44,
48.93,quite,0.42,32.62,
49.35,look,0.21,32.9,
49.56,perfunctory.,0.66,33.04,
51.33,She,0.18,34.22,
51.51,cleared,0.27,34.34,
51.78,her,0.12,34.52,
51.9,hair,0.27,34.6,
52.17,back,0.3,34.78,
52.47,from,0.39,34.98,
52.92,her,0.27,35.28,
53.19,forehead,0.57,35.46,
53.76,with,0.35,35.84,
54.6,her,0.15,36.4,
54.75,left,0.33,36.5,
55.08,hand,0.42,36.72,
